Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,32.055000,35.029999,31.190001,34.525002,31.382275,174078600
2015-02-01,34.505001,36.799999,34.165001,35.575001,32.336685,153676600
2015-03-01,35.509998,38.869999,34.540001,38.330002,35.021664,210360000
2015-04-01,38.365002,38.779999,34.080002,34.455002,31.481121,179724800
2015-05-01,34.525002,37.310001,34.049999,36.400002,33.258244,159659400
2015-06-01,36.595001,37.514999,35.119999,36.255001,33.298458,161161000
2015-07-01,36.544998,39.340000,36.320000,39.240002,36.040039,115934800
2015-08-01,39.230000,39.430000,27.320000,34.500000,31.686571,166279700
2015-09-01,33.980000,37.950001,33.630001,36.070000,33.221840,161564300
2015-10-01,36.119999,38.509998,35.689999,37.799999,34.815235,170334400
2015-11-01,37.799999,38.250000,36.000000,37.660000,34.686291,160453400
2015-12-01,38.009998,42.750000,37.849998,41.830002,38.636082,184553200
2016-01-01,41.160000,42.419998,36.439999,38.810001,35.846668,177245200
2016-02-01,38.740002,40.470001,35.419998,39.910000,36.862675,174449700
2016-03-01,40.360001,40.910000,36.459999,38.250000,35.430714,225980800
2016-04-01,37.939999,39.220001,34.779999,35.389999,32.781509,164310600
2016-05-01,35.520000,36.049999,33.619999,35.759998,33.124241,151237500
2016-06-01,35.790001,37.000000,33.900002,36.790001,34.180157,223961500
2016-07-01,36.889999,37.970001,33.810001,34.189999,31.764601,146527400
2016-08-01,34.200001,34.340000,31.450001,31.990000,29.720667,232487300
2016-09-01,32.099998,32.810001,29.490000,29.680000,27.676725,262088500
2016-10-01,29.570000,31.580000,28.709999,30.980000,28.888981,245642600
2016-11-01,31.090000,34.950001,30.440001,32.299999,30.119890,188828200
2016-12-01,31.160000,36.439999,31.090000,34.509998,32.300766,175312100
2017-01-01,34.500000,34.990002,32.689999,33.959999,31.785971,134534400
2017-02-01,33.810001,34.750000,31.580000,31.799999,29.764252,148717000
2017-03-01,31.930000,32.480000,28.290001,29.490000,27.701418,245791700
2017-04-01,29.459999,30.400000,29.219999,29.650000,27.851715,147379000
2017-05-01,29.660000,30.639999,28.540001,29.780001,27.973835,200066700
2017-06-01,29.770000,30.930000,20.459999,23.320000,21.993492,486696900
2017-07-01,23.469999,24.559999,22.500000,24.520000,23.125231,192448100
2017-08-01,24.500000,24.700001,21.059999,21.870001,20.625969,268500700
2017-09-01,21.969999,22.930000,19.889999,20.059999,19.019798,346640300
2017-10-01,20.040001,22.030001,19.690001,20.700001,19.626608,380966200
2017-11-01,20.760000,27.700001,20.740000,22.280001,21.124680,397301300
2017-12-01,25.620001,28.490000,25.200001,27.450001,26.174368,198351900
2018-01-01,27.540001,31.450001,26.540001,30.360001,28.949137,225256800
2018-02-01,30.209999,30.700001,26.629999,27.120001,25.859707,170190800
2018-03-01,27.290001,28.290001,22.850000,23.940001,22.929409,290681600
2018-04-01,23.920000,26.040001,23.150000,25.190001,24.126644,185807600
2018-05-01,25.059999,26.370001,23.610001,24.330000,23.302944,248278100
2018-06-01,24.330000,30.000000,24.240000,28.450001,27.388365,301143500
2018-07-01,28.400000,29.840000,27.639999,29.000000,27.917839,164592900
2018-08-01,29.360001,32.400002,28.580000,31.500000,30.324551,180522000
2018-09-01,31.540001,32.740002,27.540001,29.110001,28.155613,226269200
2018-10-01,29.150000,30.389999,26.629999,29.760000,28.784300,208205100
2018-11-01,30.040001,31.980000,29.049999,29.660000,28.687580,137111500
2018-12-01,29.480000,30.400000,26.430000,27.500000,26.717596,153453300
2019-01-01,27.389999,29.610001,27.080000,28.330000,27.523981,132142700
2019-02-01,28.400000,29.969999,27.520000,29.330000,28.495531,116063600
2019-03-01,29.450001,29.900000,23.520000,24.600000,24.016205,242141300
2019-04-01,24.730000,25.969999,23.520000,25.780001,25.168203,161988500
2019-05-01,25.780001,26.100000,22.440001,22.809999,22.268682,167163300
2019-06-01,22.730000,24.990000,21.299999,21.709999,21.312304,232169100
2019-07-01,21.840000,22.150000,20.700001,21.160000,20.772379,176938900
2019-08-01,21.150000,24.090000,21.100000,23.680000,23.246216,219957800
2019-09-01,23.490000,26.770000,23.299999,25.780001,25.484650,197759900
2019-10-01,25.850000,25.969999,23.709999,24.639999,24.357708,166989900
2019-11-01,24.680000,28.080000,24.639999,27.340000,27.026775,150354600
2019-12-01,27.420000,29.209999,26.250000,28.990000,28.828327,149533600
